variant,pinn_weight,tree_weight,tcn_family_weight,mean_score,mean_nmae,mean_ficr,worst_fold,std_score,n_folds
pinn0.45_tree0.55_tcn0.00,0.45,0.55,0.0,0.6275728569912765,0.12898947846787584,0.384135192450429,0.613439734469643,0.012549579066047707,3
pinn0.50_tree0.35_tcn0.15,0.5,0.35000000000000003,0.14999999999999997,0.6275310867795524,0.12978508087970445,0.3848472544388093,0.6159136185722002,0.01006191909263616,3
pinn0.50_tree0.45_tcn0.05,0.5,0.45,0.04999999999999999,0.6274154416602743,0.12958500246197277,0.3844158857825213,0.615033246872862,0.010871484683034442,3
pinn0.40_tree0.05_tcn0.55,0.4,0.05,0.5499999999999999,0.6273822344906975,0.13271549346047293,0.3874799624418679,0.6181154964283461,0.009035998360698702,3
pinn0.20_tree0.10_tcn0.70,0.2,0.1,0.7000000000000001,0.6273276812994385,0.13243618789393705,0.387091550492814,0.6180006424198737,0.00932648572720453,3
pinn0.55_tree0.35_tcn0.10,0.55,0.35000000000000003,0.09999999999999992,0.6273075440597301,0.13048883172212866,0.38510391984158887,0.6162866767320985,0.009569141427260725,3
pinn0.05_tree0.85_tcn0.10,0.05,0.8500000000000001,0.09999999999999987,0.6272847288295028,0.12682516476347513,0.38139462242248073,0.6101161395315022,0.01577739238886775,3
pinn0.25_tree0.75_tcn0.00,0.25,0.75,0.0,0.6272812544595857,0.12745435939205496,0.3820168683112261,0.6106259878181826,0.015085367402687094,3
pinn0.10_tree0.85_tcn0.05,0.1,0.8500000000000001,0.04999999999999993,0.6272802419976014,0.12704374063750193,0.38160422463270455,0.6096064287680497,0.016114339334728695,3
pinn0.35_tree0.05_tcn0.60,0.35000000000000003,0.05,0.5999999999999999,0.6272556833740773,0.1327399136644534,0.387251280412608,0.6176246774679996,0.009472742559699187,3
pinn0.50_tree0.10_tcn0.40,0.5,0.1,0.4,0.6272389103535313,0.13221808013137934,0.3866959008384419,0.6186580063043551,0.007991336406324186,3
pinn0.45_tree0.05_tcn0.50,0.45,0.05,0.5,0.6272341062195659,0.13280882702511418,0.3872770394642459,0.6176700706769894,0.009321966023547713,3
pinn0.10_tree0.15_tcn0.75,0.1,0.15000000000000002,0.75,0.6271897344644822,0.1323445449066488,0.3867240138356132,0.6167045755278884,0.009723216226758655,3
pinn0.00_tree0.25_tcn0.75,0.0,0.25,0.75,0.6271799702547562,0.13151225700846755,0.38587219751798,0.6157928879825362,0.010083904349166511,3
pinn0.00_tree0.85_tcn0.15,0.0,0.8500000000000001,0.1499999999999999,0.6271090357864392,0.12673928615635946,0.38095735772923783,0.6106280803729219,0.014949188022664848,3
pinn0.05_tree0.20_tcn0.75,0.05,0.2,0.75,0.6270922623908491,0.13187545224019484,0.38605997702189304,0.616316702330392,0.009694643395896428,3
pinn0.55_tree0.30_tcn0.15,0.55,0.30000000000000004,0.1499999999999999,0.6270899843488281,0.13069930117285797,0.3848792698705143,0.6169808197570651,0.008759606354516386,3
pinn0.15_tree0.10_tcn0.75,0.15000000000000002,0.1,0.75,0.6270180010612182,0.13292225715340764,0.386958259275844,0.6172952751310712,0.00950931777885189,3
pinn0.50_tree0.50_tcn0.00,0.5,0.5,0.0,0.6269845790973027,0.12964531657564532,0.38361447477025057,0.6136106340174341,0.01175587638474024,3
pinn50_tree50,0.5,0.5,0.0,0.6269845790973027,0.12964531657564532,0.38361447477025057,0.6136106340174341,0.01175587638474024,3
pinn0.30_tree0.05_tcn0.65,0.30000000000000004,0.05,0.6499999999999999,0.6269287341747938,0.13289725681777328,0.38675472516736087,0.6172643169370323,0.009698678537270689,3
pinn0.55_tree0.25_tcn0.20,0.55,0.25,0.19999999999999996,0.6269042939995736,0.13101602330020756,0.3848246112993546,0.6169930577123345,0.008653029146474756,3
