variant,pred_year,group,score,nmae,ficr,n_rows,pinn_weight,tree_weight,tcn_family_weight
pinn0.70_tree0.15_tcn0.15,2023,kpx_group_3,0.5798196302889078,0.15407152513951075,0.31371078571732647,8759,0.7000000000000001,0.15000000000000002,0.1499999999999999
pinn0.70_tree0.15_tcn0.15,2023,fold_mean,0.614719214467775,0.14109616433229732,0.37053459326784727,26274,0.7000000000000001,0.15000000000000002,0.1499999999999999
pinn0.70_tree0.15_tcn0.15,2024,kpx_group_1,0.6253220484036436,0.11633235623388258,0.3669764530411697,8778,0.7000000000000001,0.15000000000000002,0.1499999999999999
pinn0.70_tree0.15_tcn0.15,2024,kpx_group_2,0.6552320407851702,0.13183934074264414,0.44230342231298436,8778,0.7000000000000001,0.15000000000000002,0.1499999999999999
pinn0.70_tree0.15_tcn0.15,2024,kpx_group_3,0.6043811183817003,0.13291627949290954,0.34167851625631,8778,0.7000000000000001,0.15000000000000002,0.1499999999999999
pinn0.70_tree0.15_tcn0.15,2024,fold_mean,0.628311735856838,0.12702932548981208,0.38365279720348805,26334,0.7000000000000001,0.15000000000000002,0.1499999999999999
pinn0.70_tree0.20_tcn0.10,2022,kpx_group_1,0.6130552247928194,0.13081526157712817,0.35692571116276706,8664,0.7000000000000001,0.2,0.09999999999999992
pinn0.70_tree0.20_tcn0.10,2022,kpx_group_2,0.6422020934026949,0.1361771523110711,0.4205813391164609,8664,0.7000000000000001,0.2,0.09999999999999992
pinn0.70_tree0.20_tcn0.10,2022,fold_mean,0.6276286590977571,0.13349620694409964,0.388753525139614,17328,0.7000000000000001,0.2,0.09999999999999992
pinn0.70_tree0.20_tcn0.10,2023,kpx_group_1,0.6082973496648991,0.13090816006863004,0.3475028593984284,8757,0.7000000000000001,0.2,0.09999999999999992
pinn0.70_tree0.20_tcn0.10,2023,kpx_group_2,0.656067700552075,0.13739574938088833,0.44953115048503833,8758,0.7000000000000001,0.2,0.09999999999999992
pinn0.70_tree0.20_tcn0.10,2023,kpx_group_3,0.5800294554157204,0.1537704180935205,0.31382932892496124,8759,0.7000000000000001,0.2,0.09999999999999992
pinn0.70_tree0.20_tcn0.10,2023,fold_mean,0.6147981685442315,0.1406914425143463,0.3702877796028093,26274,0.7000000000000001,0.2,0.09999999999999992
pinn0.70_tree0.20_tcn0.10,2024,kpx_group_1,0.6249864766335359,0.11638229454171456,0.3663552478087864,8778,0.7000000000000001,0.2,0.09999999999999992
pinn0.70_tree0.20_tcn0.10,2024,kpx_group_2,0.6558466088985182,0.13188684391302824,0.44358006171006464,8778,0.7000000000000001,0.2,0.09999999999999992
pinn0.70_tree0.20_tcn0.10,2024,kpx_group_3,0.6035771992966356,0.13256596402053034,0.3397203626138014,8778,0.7000000000000001,0.2,0.09999999999999992
pinn0.70_tree0.20_tcn0.10,2024,fold_mean,0.6281367616095633,0.12694503415842437,0.38321855737755084,26334,0.7000000000000001,0.2,0.09999999999999992
pinn0.70_tree0.25_tcn0.05,2022,kpx_group_1,0.6150650351793419,0.13050426091002154,0.36063433126870537,8664,0.7000000000000001,0.25,0.04999999999999993
pinn0.70_tree0.25_tcn0.05,2022,kpx_group_2,0.6418445733653456,0.13545672894131228,0.4191458756720035,8664,0.7000000000000001,0.25,0.04999999999999993
pinn0.70_tree0.25_tcn0.05,2022,fold_mean,0.6284548042723437,0.1329804949256669,0.38989010347035447,17328,0.7000000000000001,0.25,0.04999999999999993
pinn0.70_tree0.25_tcn0.05,2023,kpx_group_1,0.605089414606501,0.13095662652568504,0.3411354557386871,8757,0.7000000000000001,0.25,0.04999999999999993
pinn0.70_tree0.25_tcn0.05,2023,kpx_group_2,0.6563519827609383,0.13669745250685994,0.44940141802873645,8758,0.7000000000000001,0.25,0.04999999999999993
